Name;Nennform;Dat. (Text);Datierung;Geo. Bez.;Beruf / Tätigkeit;Typ;Biographie;GND Link;Quelle EM;ID EM
Bolten, August;August Bolten;"1892; 26.7.1876";"Datum letzte Erwähnung: 1892, Aktenvorgang; Datum erste Erwähnung: 26.7.1876, Aktenvorgang, Korrespondenz";Tätigkeitsort: Hamburg;Spediteur, Schiffsmakler;Person;Kurzbiographie: Wm Müllers Nachfolger (um 1892).;;Nachweis aus den Vorgängen I B Afrika, und E 1637/1876, I B Bastian, DS bearb. B. Gliesmann;110997
Boluminski, Franz;Franz Boluminski;"12.11.1863 - 28.4.1913; 1903; 1911";"Lebensdaten: 12.11.1863 - 28.4.1913; Datum erste Erwähnung: 1903, Erwerbungsvorgang; Datum letzte Erwähnung: 1911, Erwerbungsvorgang";"Geburtsort: Graudenz (Westpreußen); Sterbeort: Neu-Mecklenburg; Sammelgebiet: Bismarck-Archipel [...]";Sammler, Kaiserlicher Stationsleiter, Kolonialbeamter;Person;"Kurzbiographie: Franz Boluminski diente zunächst als Soldat der kaiserlichen Schutztruppe in Deutsch-Ostafrika. Nach seinem Militärdienst arbeitete er ab 1894 für die Astrolabe-Kompagnie an der Astrolabebai (Deutsch-Neuguinea) in der Nähe des heutigen Madang.
1895 Stationsvorsteher in Erimahafen, danach Rechnungsbeamter der Neuguinea-Compagnie in Herbertshöhe. 1900 erfolgt die Berufung zum kaiserlichen Stationsleiter von Neu-Irland (Kavieng/Käwieng), 1900 war Robert Koch zur Malariabekämpfung zu Gast.
1905 Stationsleiter in Neu-Mecklenburg
1910 Beförderung zum kaiserl. Bezirksamtsmann des Bezirksamtes (Kavieng/Käwieng).
Franz Boluminski starb an den Folgen eines Schlaganfalls.";;"Nachweis aus dem Inventar IV, erg. E. Maluche

Baumann, Karl (u.a.) (Hrsg.) 2002: Biographisches Handbuch Deutsch-Neuguinea 1882-1922. Kurzlebensläufe ehemaliger Kolonisten, Forscher, Missionare und Reisender. Berlin.

Buschmann, Rainer F: “Franz Boluminski and the Wonderland of Carvings: Towards an Ethnography of Collection Activity,” Baessler Archiv N.F. XLIV (1996): 185-210.

http://de.wikipedia.org/wiki/Franz_Boluminski, Autor Snorge

DS bearb. B. Gliesmann und B. Lenz (17.11.2006)";105656
Bolzenthal, Heinrich;Heinrich Bolzenthal;"1857; 30.11.1852";"Datum letzte Erwähnung: 1857, gez. im Vorgang; Datum erste Erwähnung: 30.11.1852, Korrespondenz (Vermerk)";Tätigkeitsort: Berlin;Leitung des Kabinetts der Neueren Münzen u. Medaillien (Münz-Cabinett);Person;Kurzbiographie: Kabinett der Neueren Münzen und Medaillen 1835-1868 unter Heinrich Bolzenthal. Teilsammlung des kgl. Münzkabinetts.;;"Nachweis im Vorgang I B 1 Asien, E 1932/1852, E 156/1857 (Einsicht), DS bearb. B. Gliesmann

http://www.smb.museum/smb:
Zeittafel zur Geschichte des Münzkabinetts";320082
Bongoll, Frederico Guilherme;Frederico Guilherme Bongoll;1897;Datum erste Erwähnung: 1897, Erwerbungsvorgang;"Aufenthaltsort: Para (Brasilien); heutige Bezeichnung: Belem (Brasilien); Sammelgebiet: Gebiet, Uaupé";Sammler;Person;Kurzbiographie: Wilhelm Bongoll war Chef der Buchhaltung (Chefe da contabilidade) bei der Amazonas Steam Navigation Company in Belem (damals auch mit Para bezeichnet). Diese seinerzeit größte Flußschiffahrtsreederei am Amazonas, bestand unter dem Namen etwa von 1873 - 1911, mit Hauptverwaltungssitz in London. Seine Frau war die in Hamburg geborene (*19.Dez.1845) Kaufmannstochter Johanna, geb. Homann, verstorben in Hamburg am 12. Feb. 1917. Wahrscheinlich ging sie irgendwann zurück in die Heimat. Es gab wahrscheinlich zumindest einen Sohn Wilhelm, geb. etwa 1882 (in Para ?)  von welchem es, verschiedenen Indizien zufolge, wahrscheinlich noch lebende Nachfahren im Raum Montevideo gibt.;;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann
Name Ansetzung lt. Visitenkarte im Vorgang
Ergänzung aus Günther Hartmann in: ZfE, Bd. 100, Verl. Albert Limbach Braunschweig 1975, S. 312 - DS bearb. A.Beyer

Mailkontakt mit Michael Vellet-Brückner 21.6.2017, forscht zur Person (siehe auch Bem.)";1806
Bonsack, Franz;Franz Bonsack;"1909; † 1950";"Datum erste Erwähnung: 1909, Aktenvorgang, Tausch; Todesdatum: † 1950";"Aufenthaltsort: Nazza; Tätigkeitsort: Gotha";Pfarrer;Person;Kurzbiographie: Schriftführer des Thüringer Handweber- Vereins Gotha.Verwalter und Sammlungsleiter seit 1906, Kirchenrat Franz Bonsack, hatte sich nach 1945 gegenüber Landesbehörden und der Besatzungsmacht sehr für die Einrichtung eines Heimatmuseums eingesetzt.;;"Nachweis aus dem Vorgang E 2274/1909, I B Afrika, DS bearb. B. Gliesmann

Andrea Geldmacher: Die Wachsenburg Sammlungen, Waxmann Verlag 2009 (als Online Ressource über goggle books)
darin auf S.126: Jahresbericht des Vereins für 1907, Nennung der Person als zur Wahl gestellt für den Vorstand

zur Geschichte des Wachsenburg Comites siehe: https://de.wikipedia.org/wiki/Veste_Wachsenburg, Stand: 3. Mai 2015= Zusatz Vorname u. Todesdatum

Thüringer Handweber- Vereins Gotha (Mitteilung vom 31.12.1904) unter:
http://zs.thulb.uni-jena.de/servlets/MCRFileNodeServlet/jportal_derivate_00161170/weber_03.pdf";333678
Bopp, A.;A. Bopp;1898;Datum erste Erwähnung: 1898, Erwerbungsvorgang;;Veräußerer;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;377906
Borchardt, Hans;Hans Borchardt;1907;Datum erste Erwähnung: 1907, Vorgang;"Aufenthaltsort: Kolonie/""Schutzgebiet"", Togo; Tätigkeitsort: Berlin";;Person;"Kurzbiographie: Ehemals Kolonialbeamter in Togo – hat dort kleine ethnologische Sammlung angelegt. 1907 Zollpraktikant – Später im Reichs-Kolonialamt
Entsendung wieder nach Togo für 1908 geplant.";;Nachweis aus dem Vorgang u.a in E 1414/1907 (IB 78 Afrika/Kriegsbeute) - Tanzania-Projekt, DS bearb. B. Gliesmann;405599
Borchert, Elisabeth;Elisabeth Borchert;1896;Datum erste Erwähnung: 1896, Korrespondenz, Vorgang;;;Person;;;Nachweis aus dem Vorgang E 151/1896 (I B 15 Afrika), DS bearb. B. Gliesmann;121951
Borchert, Oscar;Oscar Borchert;† vor 1896;Todesdatum: † vor 1896;Aufenthaltsort: Afrika;Afrikareisender;Person;;;Nachweis aus dem Vorgang E 151/1896 (I B 15 Afrika), DS bearb. B. Gliesmann;109387
Borchert, Willi;Willi Borchert;1920;Datum erste Erwähnung: 1920, Erwerbungsvorgang;"Aufenthaltsort: Berlin; Aufenthaltsort: Bezirk, Pankow";Veräußerer;Person;;;"Nachweis aus dem Inventar I A, DS bearbeitet von B. Weiss

Name, Ort aus dem Adressbuch (1920), DS bearb. B. Gliesmann";405255
Born, Ludwig;Ludwig Born;"1904; 1908; ca. 1903 - 1908 [...]";"Datum erste Erwähnung: 1904, Erwerbungsvorgang; Datum letzte Erwähnung: 1908, Erwerbungsvorgang; Tätigkeitszeit: ca. 1903 - 1908, Regierungsarzt  Carolinen-Inseln (West-) [...]";"Tätigkeitsort: Yap; Tätigkeitsort: Palau; Tätigkeitsort: Jaluit [...]";Sammler, Regierungsarzt;Person;Kurzbiographie: Regierungsarzt westliche Carolinen-Inseln ca. 1903-1908, Herbertshöhe (Papua-Neuguinea) 1909, Jaluit 27.12.1909 - 7.3.1912, stellv. Assesor Yap und Palau 1906/07.;;"Nachweise aus den Inventaren I + ergänzt Nachweis aus dem Inventar IV, DS bearb. E. Maluche

http://marshall.csu.edu.au/Marshalls/html/german2/admin.html -- Spennemann, Dirk H.R. (1999-2000). Administrators of the German Marshall Islands
DS bearb. B. Gliesmann";120960
Bornemann <Dr.>;Bornemann;1909;Datum erste Erwähnung: 1909, Erwerbungsvorgang;;Veräußerer;Person;;;"Nachweis aus dem Inventar IV, bearb. E. Maluche
Nachweis aus dem Inventar III / III Kopie, DS bearb. E. Maluche, zudem HK III C, DS bearb B. Gliesmann";370483
Bornemann, Edm.;Edm. Bornemann;1911;Datum erste Erwähnung: 1911, Erwerbungsvorgang;;;Person;;;DS bearb. B. Gliesmann;1135
Borner, Margarethe;Margarethe Borner;1924;Datum erste Erwähnung: 1924, Erwerbungsvorgang;Wohnort: Berlin;Veräußerin;Person;;;Nachweis aus dem Inventar I A, DS bearb. von B. Weiss, erg. aus dem EJ zum Vorgang E 201/1924 (IB Asien), DS bearb. B. Gliesmann;405562
Borsarelli, Emilio;Emilio Borsarelli;1907;Datum erste Erwähnung: 1907, Aktenvorgang;Aufenthaltsort: Vicoforte;Crabinieri;Person;;;aus dem Bürojournal, bearb. B. Gliesmann;313359
Bossert <Dr.>;Dr. Bossert;1928;Datum erste Erwähnung: 1928, Erwerbungsvorgang;Wohnort: Berlin;Veräußerer;Person;;;"Nachweis aus dem Inventar I A, DS bearbeitet von B. Weiss
DS bearb. B. Gliesmann: keine Korresp., nur intern erwähnt im Vorgang - Adressbuch ohne Vorname";403336
Botanisches Museum, Berlin;Botanisches Museum, Berlin;1923 - 1939;Datum erste Erwähnung: 1923 - 1939;Standort: Berlin;;Körperschaft;;;Nachweis aus der Akte E 001 /4, DS bearb. B. Gliesmann;380567
Böthger, Padro;Padro Böthger;1911/1912;Datum erste Erwähnung: 1911/1912, Erwerbungsvorgang;Sammelgebiet: Peru;Vorbesitzer, Sammler (?);Person;;;"Nachweis aus dem Inventar V, nicht genannt, unklar ob Sammler, Vorbesitzer
Als Geber auf den Karteikarten ausgewiesen: z.B V A 33566; V A 33574, 78, 79 usw.

DS bearb. B. Gliesmann";90541
Böttcher, Ernst A. ;Ernst A. Böttcher;"1897; 1906";"Datum erste Erwähnung: 1897, Erwerbungsvorgang; Datum letzte Erwähnung: 1906, Erwerbungsvorgang";"Tätigkeitsort: Berlin; Sammelgebiet: Chile; Sammelgebiet: südliches Afrika";Veräußerer, Naturalien-Händler;Person;;;"Nachweis aus dem Inventar I +  V und aus dem Vorgang E 412/1897 (I B 17 Afrika), sowie Briefkopf (Erwerbsunterlagen*), DS bearb. B. Gliesmann
* ""Ernst"" Vorname Hinweis Frau Steffens 09/2022)
 ";1808
Bousignac, I.L.;I.L. Bousignac;1913;Erste Erwähnung: 1913, Erwerbungsvorgang;"Aufenthaltsort: El Callao; Sammelgebiet: Südost-Venezuela";Sammler;Person;;;"Nachweis aus dem Inventar V, DS bearb. B. Gliesmann

Ergänzung aus Günther Hartmann in: ZfE, Bd. 100, Verl. Albert Limbach Braunschweig 1975, S. 316/321, DS bearb. A. Beyer";1809
Bovallius, Carl;Carl Bovallius;"1888; 1899; 1849 - 1907";"Datum erste Erwähnung: 1888, Erwerbungsvorgang; Datum letzte Erwähnung: 1899, Erwerbungsvorgang; Lebensdaten: 1849 - 1907";"Aufenthaltsort: Upsala (Schweden); Aufenthaltsort: Stockholm; Sammelgebiet: Costa Rica [...]";Sammler, Biologe;Person;Kurzbiographie: Zentralamerika-Reise 1881-1883, Panama, Islands Perlas, Costa Rica, Talamanca, Nicauraga und Zapatera Island.;;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann
http://www.antiqbook.com/boox/dur/99630.shtml http://www.ilab.org/db/detail.php?lang=de&membernr=1277&ordernr=64180

Ergänzung aus Günther Hartmann in: ZfE, Bd. 100, Verl. Albert Limbach Braunschweig 1975, S. 311, 316/321
DS bearb. A. Beyer";1810
Bovallius, R. <Bruder von>;Bruder von R. Bovallius;1899;Datum erste Erwähnung: 1899, Korrespondenz, Erwerbungsvorgang;"Schweden; Aufenthaltsort: Stockholm";;Person;;;Nachweis aus dem Vorgang I B 20 Amerika, E 1278/1899 (Einsicht), DS bearb. B. Gliesmann;335274
Böwe;Böwe;1897;Datum erste Erwähnung: 1897, Erwerbungsvorgang;Sammelgebiet: Kamerun;Veräußerer, Lazaretthilfe;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;372624
Braak, Ch. F. ter;Ch. F. ter Braak;1914;Datum erste Erwähnung: 1914, Erwerbungsvorgang;Aufenthaltsort: Picardie (?) (Frankreich);Veräußerer;Person;;;Nachweis aus dem Inventar I A, DS berabeitet von B. Weiss, DS bearb. B. Gliesmann;404156
Brand;Brand;1894;Datum erste Erwähnung: 1894, Erwerbungsvorgang;Tätigkeitsort: Bayreuth;Hoffotograf;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;407996
Brande, E.;E. Brande;1908;Datum erste Erwähnung: 1908, Korrespondenz;Aufenthaltsort: Bangkok;;Person;;;Nachweis aus dem Eingangsjournal zum Vorgang E 1624/1908 (I B Asien), DS bearb. B. Gliesmann;404535
Brandeis, Antonie;Antonie Brandeis;"*25.3.1868; 1907; 1905";"Geburtsdatum: *25.3.1868; Datum erste Erwähnung: 1907, Erwerbungsvorgang; Datum erste Erwähnung: 1905, Erwerbungsvorgang";Sammelgebiet: Nauru;"Sammlerin, ""Frau Landeshauptmann""";Person;"Kurzbiographie: [zu prüfen] Tochter des Kaufmanns Rudolph Heinrich Ruete und Sayyida Salme (auch Emily Ruete), der Prinzessin von Oman und Sansibar. Am 30. April 1898 heiratete sie Eugen Brandeis in Beirut. 
Antonie Brandeis wirkte auf Jaluit in der Krankenpflege und sammelte Ethnographica. Seit 1908 war sie aktiv im „Frauenbund der Deutschen Kolonialgesellschaft“ tätig. 1911 beteiligte sie sich an der Internationalen Hygiene-Ausstellung in Dresden, organisiert von Friedrich Fülleborn. Antonie lebte nach ihrer Trennung von Brandeis 1920 in Hamburg und war maßgeblich an der Gründung der Kolonialen Frauenschule in Rendsburg beteiligt.[7][8] Sie verfasste 1907 das Kochbuch für die Tropen.[9]";;"Nachweis aus dem Inventar IV, DS bearb.  
B. Gliesmann, bearb. E.Maluche

Geburtsdatum und biogr. Angaben lt. Artikel wikipedia: https://de.wikipedia.org/wiki/Eugen_Brandeis, Stand: 11. Dezember 2018";106012
Brandenburg, E.;E. Brandenburg;um 1912;Datum erste Erwähnung: um 1912, Publikation der Fotografie;"Sammelgebiet: Türkei; historische Bezeichnung: Region, Phrygien";Sammler;Person;;;Nachweis aus der Objektdokumentation (HK ?), DS bearb. B. Gliesmann;99737
Brandes <Frau Dr.>;Frau Dr. Brandes;1908;Datum erste Erwähnung: 1908, Erwähnung im EJ zum Aktenvorgang;Aufenthaltsort: Waldhausen;;Person;;;Nachweis aus dem Eingangsjournal zum Vorgang E 1624/1908 (I B Asien), DS bearb. B. Gliesmann;404541
Brandes, K.;K. Brandes;1914;Datum erste Erwähnung: 1914, Erwerbungsvorgang;;Veräußerer;Person;;;"Nachweis aus dem Inventar III, bearb. B. Gliesmann

Inhalt aus Inventar III / III Kopie, E. Maluche";2669
Brandis, Anna von;Anna von Brandis;1915;Datum erste Erwähnung: 1915, Erwerbungsvorgang;Aufenthaltsort: Barsinghausen bei Hannover;Veräußerin, Stiftsdame;Person;;;"Nachweis aus dem Inventar I A und III, DS bearb. B. Gliesmann

Nachweis aus dem Inventar III / III Kopie, DS bearb. E. Maluche

*Ortsbezug aus dem EJ zum Vorgang E 242/1915.";99738
Brandt, A.A.;A.A. Brandt;1905;Datum erste Erwähnung: 1905, Erwerbungsvorgänge;Aufenthaltsort: Berlin;Sammler, Ingenieur;Person;;;Nachweis aus dem Inventar I und Bürojournal, DS bearb. B. Gliesmann;737
Brangynski;Brangynski;1923;Datum erste Erwähnung: 1923, Erwerbungsvorgang;"Aufenthaltsort: Berlin; Aufenthaltsort: Bezirk, Treptow";Veräußerer, Ingenieur;Person;;;Nachweis aus dem Inventar I A, DS bearbeitet von B. Weiss, DS bearb. B. Gliesmann;405302
Brauberger;Brauberger;1919;Datum erste Erwähnung: 1919, Erwerbungsvorgang;;;Person;;;"Nachweis aus dem Inventar I A, DS berab. von B. Weiss
Name im Adressbuch geprüft, B. Gliesmann";405481
Brauchitsch, von;von Brauchitsch;1898;Datum erste Erwähnung: 1898, Erwerbungsvorgang;;Sammler, Oberleutnant (Prltn.);Person;;;Nachweis aus dem Vorgang E 723/1898 (I B 19 Afrika), DS bearb. B. Gliesmann;398692
Braun, Alexander;Alexander Braun;"18.5.1805 - 29.3.1877; 1851-1877; 1874";"Lebensdaten: 18.5.1805 - 29.3.1877; Tätigkeitszeit: 1851-1877, Direktor; Datum erste Erwähnung: 1874, Aktenvorgang";"Geburtsort: Regensburg; Sterbeort: Berlin; Tätigkeitsort: Berlin";Botaniker, Direktor des königlichen Herbariums (Botanischer Garten Berlin);Person;"Kurzbiographie: Professor in Freiburg (Breisgau), Gießen und Berlin. 
War Mitglied der Leopoldina in Halle und der Preußischen Akademie.";http://d-nb.info/gnd/116415576;"Nachweis aus dem Vorgang I B 1 Südsee/Austr., E 277/1874 DS bearb. B. Gliesmann

ADB/NDB-Nachweis: Ziegenspeck, Hermann zu „Braun, Alexander Heinrich“, in: Neue Deutsche Biographie 2 (1955), S. 548 [Onlinefassung]; URL: http://www.deutsche-biographie.de/pnd116415576.html , Zugriff 8.6.2012
(Genealogie, Kurzbiografie, Lebensdaten, Werke)";381812
Braun, Friedrich;Friedrich Braun;1909;Datum erste Erwähnung: 1909, Erwerbungsvorgang;"Aufenthaltsort: Bijâpur (Bombay); Aufenthaltsort: Berlin; Aufenthaltsort: Möhringen a.d. Filder [...]";Sammler, Missionar;Person;;;Nachweis aus dem Inventar I A, erg. aus dem EJ und den Vorgängen, DS bearb. B. Gliesmann;380696
Braun, G.;G. Braun;"1922; 1941";"Datum erste Erwähnung: 1922, Erwerbungsvorgang; Datum letzte Erwähnung: 1941, Erwerbungsvorgang";Tätigkeitsort: Berlin;Fotograf (Reproduktion) (?);Person;Kurzbiographie: 1938 als Fa. G. Braun, Berlin.;;Nachweis aus dem Inventar V, DS bearb. B. Gliesmann;408639
Braun, I.;I. Braun;"1898; 1901";"Datum erste Erwähnung: 1898, Erwähnung in der Korrespondenz; Datum letzte Erwähnung: 1901, Erwerbungsvorgang";Aufenthaltsort: Limburg (Lahn);"Sammler, Premier-Leutnant; Sammler, Premier-Leutnant; Sammler, Premier-Leutnant";Person;;;Nachweis aus dem Vorgang I B  Afrika, E 863/1901 und Inventar I, DS bearb. B. Gliesmann;2672
Braun, Max;Max Braun;1899;Datum erste Erwähnung: 1899, Erwerbungsvorgänge;"Sammelgebiet: Kolonie/""Schutzgebiet"", Deutsch-Neuguinea; Sammelgebiet: Admiralitäts-Inseln";Sammler, Marine-Zahlmeister, S.M.S. Möwe;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;108367
Braun, von;Frau v. Braun;1914;Datum erste Erwähnung: 1914, Erwerbungsvorgang (Europa);;Leihgeberin;Person;;;Nachweis aus dem Inventar I A, DS angelegt B. Weiss, DS bearb. B. Gliesmann;403102
Braunfels;Braunfels;1886;Datum erste Erwähnung: 1886, Erwerbungsvorgang;;Vorbesitzer, Kommerzienrat;Person;;;Nachweis von der Karteikarte z.B. V C 9171 (Tätigkeit KK u V C 6029-6051 + V C 6138), DS angel. B. Gliesmann;748024
Braunschweig;Braunschweig;"1911; 1912";"Datum erste Erwähnung: 1911, Erwerbungsvorgang; Datum letzte Erwähnung: 1912, Erwerbungsvorgang";Sammelgebiet: Ostafrika;Sammler, Oberleutnant;Person;;;Nachweis aus dem Inventar III/III Kopie, DS bearb. E. Maulche, DS bearb. B. Gliesmann;2673
Bravo <Dr.>;Dr. Bravo;1899;Datum erste Erwähnung: 1899, Erwerbungsvorgang;;Veräußerer;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;90542
Bredemeier, Hermann;Hermann Bredemeier;"1910; 1913";"Datum erste Erwähnung: 1910, Erwerbungsvorgang; Datum letzte Erwähnung: 1913, Erwerbungsvorgang";"Aufenthaltsort: Bremen; Sammelgebiet: Costa Rica";Sammler;Person;;;Nachweis aus dem Inventar V, DS bearb. B. Gliesmann;8
Bredow;Bredow;"1860; 1843-1873";"Datum erste Erwähnung: 1860, Unterzeichner Aktenvermerk; Tätigkeitszeit: 1843-1873";Tätigkeitsort: Berlin;Registrator und Kassenkontroleur der kgl. Museen;Person;;;"Nachweis u.a. aus dem Vorgang I B Austr, 1, E 465/1860, I B Asien. E 1105/1862 (Einsicht), DS bearb. B. Gliesmann

ZUR GESCHICHTE 
DER KÖNIGLICHEN MUSEEN IN 
BERLIN 

FESTSCHRIFT ZUR FEIER 
IHRES FÜNFZIGJÄHRIGEN BESTEHENS 
AM 3. AUGUST 1880 : Anhang IV. 
A. VERZEICHNISS 
der Beamten der Königlichen Museen vom Jahre 1830 ab.";320078
Breitenstein;Dr. Breitenstein;1897;Datum erste Erwähnung: 1897, Erwerbungsvorgang;;Sammler;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;738
Brenckley, I.L. (Bremkley?);I.L. Brenckley (Bremkley?);1894;Datum erste Erwähnung: 1894;;;Person;;;Nachweis lt. Fotobeschriftung VIII B 394, DS bearb. B. Gliesmann;377199
Brennecke, Wilhelm;Wilhelm Brennecke;"1907; 6.7.1875 - 1924";"Datum erste Erwähnung: 1907, Erwerbungsvorgang; Lebensdaten: 6.7.1875 - 1924";"Geburtsort: Hildesheim; Studienort: Berlin; Tätigkeitsort: Potsdam [...]";Sammler, Ozeanograf;Person;"Kurzbiographie: Sohn des Oberlehrers Professor Dr. Adolf Brennecke. Nach dem Reife-Examen 1893 im Realgymnasium in Elberfeld machte er zunächst ein einjähriges Praktikum im Maschinenbau. 
Anschließend studierte er bis 1898 Ingenieurwissenschaften an der Technischen Hochschule Charlottenburg in Berlin. Neben einer Beschäftigung am Meteorologischen Observatorium in Potsdam bis 1899 und dann als Assistent am Physikalischen Kabinett der Landwirtschaftlichen Hochschule sowie am Meteorologischen Institut in Berlin hörte er Vorlesungen an der Friedrich-Wilhelms-Universität zu Berlin über Meteorologie, Geographie und Physik u.a. bei Ferdinand v. Richthofen, dem Gründer des Instituts und Museum für Meereskunde in Berlin, sowie bei Erich v. Drygalski und Wilhelm Meinardus. Anfang 1904 
promovierte er.
Dies qualifizierte ihn zu einer Anstellung in der deutschen Seewarte in Hamburg am 1. April 1904 als wissenschaftlicher Hilfsarbeiter – 
zunächst in der Abteilung III (Pflege der Witterungskunde, der Küsten-Meteorologie und des Sturmflutwesen in Deutschland). Im Jahr darauf folgte ein Wechsel in die Abteilung I (Maritime Meteorologie und Ozeanographie), die von G. Schott geleitet wurde.
Forschungsreise des neuen Vermessungsschiffes der Kaiserlichen Marine „Planet“ 1906/07 in die Südsee um die ozeanographischen Messungen durchzuführen. Zur militärischen Besatzung stieß als einziger Zivilist.
In dem vierbändigen Expeditionswerk von 1909 gab er im dritten Band nicht nur eine Gesamtschau über seine Ergebnisse, sondern darüber hinaus eine Interpretation der Vertikal-Zirkulation des Meeres. Er bezog sich dabei auf frühere Aussagen von Krümmel, Meinardus und Schott. 
1909 beförderte die Seewarte Brennecke zum wissenschaftlichen Assistenten und damit zum Ständigen Mitarbeiter. 
1911/12 wurde er zur Teilnahme an der von dem Forschungsreisenden Wilhelm Filchner konzipierten 2. Deutschen Südpolar-Expedition auf dem Schiff „Deutschland“ beurlaubt.";;"Nachweis aus dem Inventar IV, DS bearb. E. Maluche, DS bearb. B. Gliesmann


biogr. Angaben: Wilhelm Brennecke - Copernicus Meetings:
Online-Ressource unter:, https://meetings.copernicus.org/dach2007/download/DACH2007_A_00327.pdf, Zugriff 26.3.2018

Ozeanograp bez. wikipedia-Verweis übernommen";303856
Brenner, Joachim von;Joachim von Brenner;"1900; 1859 - 1927; 1901";"Datum erste Erwähnung: 1900, Erwerbungsvorgang; Lebensdaten: 1859 - 1927; Datum letzte Erwähnung: 1901, Erwerbungsvorgang";"Wohnort: Vöslau (Niederösterreich); Sammelgebiet: Indien; Sammelgebiet: Indischer Archipel [...]";Sammler;Person;"Kurzbiographie: Joachim von Brenner-Felsach trat im Jahr 1885 eine dreijährige Weltreise an. G. Meissner reiste zusammen mit Joachim Freiherr von Brenner-Felsach von Deli (Nord-Sumatra) in das Batak-Land. Anfang Mai bis Ende Juni 1887 auf Nias. ""Indonesienexpedition 1887""";http://d-nb.info/gnd/116486163;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann

GND (Kalliope): nur Wirkungszeit angegeben mit 1891

* biogr. Reisedaten und Lebensdaten unter http://www.voelkerkunde.at/programm/deutsch/2005: Programm des MV Wien, 2005";740
Brenner, Wilhelm;Wilhelm Brenner;"1931; 1955";"Datum erste Erwähnung: 1931, Erwerbungsvorgang; Datum letzte Erwähnung: 1955, Erwerbungsvorgang";"Aufenthaltsort: Casapalca (Peru); Wohnort: Berlin";Sammler, Ingenieur;Person;;;Nachweis aus dem Inventar V, DS bearb, B. Gliesmann, 10.4.2006                                    Nachweis aus dem Inventar I C, DS erg. E. Maluche;10
Brenning, M.;M. Brenning;1896;Datum erste Erwähnung: 1896, Erwerbungsvorgang;Wohnort: Charlottenburg;Veräußerer;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;11
Bretschneider, C.;C. Bretschneider;1910;Datum erste Erwähnung: 1910, Erwerbungsvorgang;;Veräußerer;Person;;;Nachweis aus dem Inventar I A, DS bearb. B. Gliesmann;304333
Brettes, Joseph de;Joseph de Brettes;um 1899;Datum erste Erwähnung: um 1899;Sammelgebiet: Kolumbien;Sammler*;Person;;;"Nachweis aus der Objektdokumentation (KK), DS bearb. B. Gliesmann
* Funktion, Sammlungskontext nicht klar, auf Karteikarten unterschiedl. als zweiter Sammler, Janszen als Vorbesitzer, als auch Janszen Sammler und de Brettes in Klammer gesetzt ohne Zuordnung Geber/Sammler.

im Vorgang E 1025/1899 (IB 20 Amerika), kein Hinweis zur Person - geprüft M. Sommer";90543
Breuer, A. <Dr.>;Dr. A. Breuer;1922;Datum erste Erwähnung: 1922, Abgabevorgang;Tätigkeitsort: Berlin;Auktionator, Erwerbung von Turfanobjekten;Person;;;"DS bearb. B. Gliesmann

Erwähnung im Vortrag ""Berliner Markt für Ostasiatika 1900-1933) Frau Jirka-Schmitz, Köln, Tagung Provenienzforschung zu Ostasiatischer Kunst, 13.10.2017 im Aku";313357
Breuer, Franz;Franz Breuer;1911;Datum erste Erwähnung: 1911, Erwerbungsvorgang;"Aufenthaltsort: Cöln [Köln]; Wohnort: Berlin; Wohnort: Neuss a./Rh";;Person;;;Nachweis aus den Vorgängen I B Asien, E 78/1911, E 1666/1911, DS bearb. B. Gliesmann;302763
Breuer, Fritz;Fritz Breuer;1911;Datum erste Erwähnung: 1911, Erwähnung in der Korrespondenz;Aufenthaltsort: Neuss a./Rh.;Direktor;Person;;;Nachweis aus dem Bürojournal zum Vorgang, E 78/1911 (I B Asien ), DS bearb. B. Gliesmann;354990
Breuer, Karl;Karl Breuer;"1906; 1937";"Datum erste Erwähnung: 1906, Erwerbungsvorgang; Datum letzte Erwähnung: 1937, Erwerbungsvorgang";"Sammelgebiet: Ägypten; Sammelgebiet: Kamerun; Sammelgebiet: Siam (Thailand) [...]";Veräußerer;Person;;;Nachweis aus dem Inventaren I A und  III / III Kopie, DS bearb. B. Gliesmann;301482
Briet, Henri;Henri Briet;1907;Datum erste Erwähnung: 1907, Erwerbungsvorgang;Aufenthaltsort: Berlin;Veräußerer;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;12
Brietzke, Arthur von;Arthur von Brietzke;1914;Datum erste Erwähnung: 1914, Erwerbungsvorgang;"Aufenthaltsort: Neukölln (bei Berlin); Sammelgebiet: Samoa (?)";Veräußerer;Person;;;Nachweis aus dem Inventar IV, bearb. E. Maluche, DS bearb. B. Gliesmann;13
